protected,verified,location,followers_count,following_count,tweet_count,isFraud,un_no_of_char,un_special_char,un_uppercase,name_no_of_char,name_special_char,name_uppercase,des_no_of_usertags,des_no_of_hashtags,des_external_links,has_description,account_age_in_days
0,0,1,23,0,799,1,15,1,0,12,0,1,0,0,0,1,4124
0,0,1,6,46,26,1,14,0,1,15,0,0,0,0,0,0,4112
0,0,1,549,0,9223,1,15,0,1,14,0,1,0,0,0,1,4106
0,0,1,19,1011,111,1,9,0,0,9,0,1,0,0,0,1,4108
0,0,1,4,0,57,1,11,0,1,14,0,1,0,0,0,1,4106
0,0,1,1,0,74,1,14,0,1,14,0,1,0,0,0,1,4101
0,0,1,12,0,156,1,13,1,1,10,0,1,0,0,0,1,4106
0,0,1,2,0,16,1,11,0,0,8,0,0,0,0,0,1,4099
0,0,1,3,230,40,1,9,0,0,5,0,1,0,0,0,1,4102
0,0,1,2,0,31,1,8,0,0,5,0,0,0,0,0,1,4091
1,0,1,8,21,40,1,8,0,0,5,0,1,0,0,0,1,1040
0,0,1,11,0,15,1,9,0,0,5,0,0,0,0,0,0,4097
0,0,1,5,0,81,1,13,0,1,14,0,1,0,0,0,1,4097
0,0,1,4,0,15,1,13,0,1,12,0,1,0,0,0,1,4090
0,0,1,179,0,18334,1,8,1,0,17,1,1,0,0,0,0,4092
0,0,1,231,0,12611,1,10,1,0,10,0,1,0,0,0,1,4065
0,0,1,5,0,26,1,11,0,0,14,0,1,0,0,0,0,4077
0,0,1,3,0,33,1,13,0,1,18,0,1,0,0,0,1,4070
0,0,1,36,0,548,1,13,1,1,16,0,1,0,0,0,0,4079
0,0,1,2,5,0,1,13,0,1,13,0,1,0,0,0,0,1503
0,0,1,2,0,25,1,12,0,0,12,0,0,0,0,0,1,4061
0,0,1,11,0,49,1,12,0,1,14,0,1,0,0,0,1,4064
0,0,1,59,569,643,1,15,0,1,12,0,1,0,0,0,1,4056
0,0,1,800,0,10892,1,8,0,0,8,0,0,0,0,0,1,4027
0,0,1,1,0,18,1,9,0,0,15,0,0,0,0,0,0,4035
0,0,1,5,0,15,1,8,0,1,9,0,1,0,0,0,1,4031
0,0,1,2,0,5,1,8,0,1,9,0,0,0,0,0,1,4023
0,0,1,117,0,1039,1,8,1,0,13,0,0,0,1,0,1,4026
0,0,1,929,0,2127,1,12,1,1,5,0,1,1,1,0,1,4023
0,0,1,1,0,10,1,13,0,1,14,0,1,0,0,0,1,4019
0,0,1,26,0,187,1,8,0,1,16,0,1,0,0,0,1,4016
0,0,1,6,0,10,1,13,0,0,20,0,1,0,0,0,1,4011
0,0,1,5,0,102,1,11,0,0,12,0,1,0,0,0,1,4001
0,0,1,800,0,10892,1,8,0,0,8,0,0,0,0,0,1,4027
0,0,1,1,0,18,1,9,0,0,15,0,0,0,0,0,1,4035
0,0,1,5,0,15,1,8,0,1,9,0,1,0,0,0,1,4031
0,0,1,2,0,5,1,8,0,1,9,0,0,0,0,0,1,4023
0,0,1,117,0,1039,1,8,1,0,13,0,0,0,1,0,1,4026
0,0,1,929,0,2127,1,12,1,1,5,0,1,1,1,0,1,4023
