protected,verified,location,followers_count,following_count,tweet_count,isFraud,un_no_of_char,un_special_char,un_uppercase,name_no_of_char,name_special_char,name_uppercase,des_no_of_usertags,des_no_of_hashtags,des_external_links,has_description,account_age_in_days
0,0,1,76,6,1,0,15,0,0,13,0,1,0,0,0,1,3271
0,1,1,16136017,23,948,0,8,0,0,9,0,1,0,0,0,1,4854
0,1,1,20574876,513,72690,0,11,1,1,14,0,0,0,0,0,1,4275
0,1,1,12011212,536,6310,0,5,0,1,16,0,1,0,0,0,1,4891
0,1,1,45419017,27,41550,0,11,0,0,12,0,1,0,0,0,0,4924
0,1,1,11952324,614,15953,0,10,0,1,9,0,0,2,0,1,1,4572
0,1,1,15124521,1534,71978,0,12,0,0,13,0,1,0,9,0,1,4994
0,1,1,15962272,259,2406,0,6,0,1,10,0,1,0,0,1,0,4579
0,1,1,14134015,621,6342,0,9,0,0,10,0,1,0,0,0,0,4834
0,1,1,11654996,532,610,0,10,0,1,11,0,1,0,0,0,0,4426
0,1,1,16759986,390,26708,0,7,0,1,14,0,1,0,0,0,1,4257
0,1,1,19326879,49,7087,0,13,0,1,15,0,1,0,0,0,1,5136
0,1,1,15400151,149,5231,0,15,0,0,17,0,1,2,0,1,1,4543
0,1,1,9880586,1667,21873,0,15,0,1,16,0,1,0,0,0,1,4855
0,1,1,17264046,635,6843,0,6,0,1,14,0,1,0,0,0,1,4828
0,1,1,8225947,647,381,0,12,0,0,13,0,1,0,0,0,1,4802
0,1,1,24341248,3,6746,0,8,0,0,10,0,1,0,0,0,1,4996
0,1,1,8956271,69217,42620,0,12,0,1,13,0,1,0,0,0,1,4392
0,1,1,11797674,56,4091,0,15,0,0,16,0,1,0,0,0,1,4421
0,1,1,19035887,292,2925,0,15,0,0,15,0,1,0,0,0,0,4198
0,1,1,13630711,3380,14693,0,9,0,1,13,0,1,0,1,0,1,4953
0,1,1,8576510,109,10352,0,12,0,1,13,0,1,0,0,0,1,4705
