verified,location,followers_count,following_count,tweet_count,isFraud,un_no_of_char,un_special_char,un_uppercase,name_no_of_char,name_special_char,name_uppercase,des_no_of_usertags,des_no_of_hashtags,des_external_links,has_description,account_age_in_days
1,1,183950,5113,90014,0,13,0,1,11,0,1,1,0,1,1,4061
0,0,58,68,742,1,11,0,1,12,0,1,0,0,0,0,3324
0,1,320,984,3165,0,13,0,0,12,0,1,0,1,1,1,3098
0,0,2,0,2084,1,15,0,1,15,0,1,0,0,0,0,3811
0,1,293,1366,19825,1,14,1,1,14,0,1,0,0,0,1,3652
0,0,0,0,122,0,15,0,0,16,0,1,0,0,0,1,2225
0,1,110,188,1717,0,6,0,0,11,0,1,0,0,1,1,4131
0,1,0,37,236,1,11,1,0,3,0,1,0,0,0,1,2051
0,1,400,333,6765,0,11,0,1,11,0,0,0,0,0,0,3319
0,0,257,0,20031,1,9,0,1,9,0,0,0,0,1,1,4116
0,0,1,0,228,0,15,0,0,13,0,0,0,0,0,0,1899
0,1,463,346,67374,0,10,1,1,17,0,1,0,0,1,1,4341
0,0,179,297,2526,0,11,0,0,11,0,1,0,0,0,1,2429
0,0,0,0,633,0,13,0,0,10,0,1,0,0,0,0,1888
0,0,11,47,2156,1,14,0,0,13,0,0,0,0,0,0,3345
0,1,336528,886,1200,0,5,0,0,10,0,1,0,0,0,1,4937
0,1,150982,32,135,0,12,0,0,17,0,1,0,0,0,1,4348
0,1,78,159,2813,1,13,0,0,15,0,1,1,0,1,1,4275
0,0,30,12,5241,1,7,0,0,13,0,1,0,0,0,0,2588
1,1,11120,4874,16656,0,10,0,1,9,0,1,1,2,0,1,5047
0,1,7021,3498,5254,0,11,0,1,22,0,1,0,1,0,1,4135
0,0,16,0,54,1,6,1,0,11,0,1,0,0,1,1,3604
0,1,160,263,2203,0,9,0,1,10,0,1,0,0,0,0,3906
0,1,201,592,9202,0,5,0,0,15,0,1,0,0,0,1,4860
1,1,6549,1509,9669,0,10,0,1,10,0,1,1,0,0,1,3560
0,0,73,254,1406,0,9,0,0,17,0,1,0,0,0,1,5513
0,1,2685,2414,8235,0,14,0,1,12,0,1,0,0,0,1,4153
0,1,2815,1637,4447,0,11,0,0,16,0,1,4,2,0,1,4341
0,1,2321,1,23117,1,12,0,0,12,0,1,0,0,1,1,1934
0,0,19,0,59,1,15,0,1,9,0,1,0,0,1,1,3115
0,1,829820,701,69455,1,13,1,1,13,0,1,0,0,0,1,3931
0,1,637,635,1298767,1,11,1,0,14,0,0,1,0,0,1,4511
0,1,213,1159,7330,0,10,0,0,5,0,1,0,3,0,1,3086
0,1,192,507,18390,0,8,0,0,14,0,1,0,0,0,1,3642
0,0,15,0,137,0,9,0,0,4,0,1,0,0,0,0,4213
0,0,6,4,2847,1,11,1,0,13,0,1,0,0,0,0,3933
0,1,518,562,4184,0,12,0,1,13,0,1,1,4,0,1,5451
0,0,55,1098,436,1,12,0,0,12,0,1,0,0,0,1,3338
1,0,227802,957,11964,0,8,0,0,8,0,0,0,0,1,1,5177
0,0,0,0,193,0,15,1,1,18,0,1,0,0,0,1,2225
0,0,0,0,142,0,14,1,0,14,0,1,0,0,0,1,2226
0,1,40,91,10339,0,9,0,1,11,0,1,0,0,0,1,4221
0,1,79769,6493,316078,0,15,0,0,12,0,1,0,1,1,1,4017
0,0,5,0,175,1,15,0,0,13,0,0,0,0,0,1,1935
0,0,1009176,230,7174,0,13,0,0,18,0,1,0,0,0,1,4285
0,1,75,305,3323,1,12,0,0,13,0,1,0,0,0,0,4277
0,1,29,750,154,1,12,0,0,5,0,0,0,0,0,1,3619
1,1,892302,228,4140,0,8,0,1,13,0,1,0,1,1,1,3629
0,0,4,31,2862,1,9,1,0,6,0,1,0,0,0,1,2139
0,1,26,0,1362,0,10,0,0,11,0,0,0,0,0,1,2129
1,1,1798918,4417,169398,0,11,0,0,12,0,1,0,0,0,1,4915
0,1,198,307,5095,1,15,1,1,10,0,1,0,0,0,1,3885
1,1,144202,111,28150,0,8,0,1,9,0,1,0,0,0,1,4910
1,0,227096,105,15368,0,12,1,0,12,1,0,0,0,1,1,4848
0,1,55,170,853,0,7,0,0,3,0,0,0,0,0,1,4776
0,1,18,882,1850,1,12,0,0,6,0,0,0,0,0,0,4582
0,0,78,400,3853,1,13,0,0,3,0,1,0,0,0,1,4336
1,1,1584552,2442,20976,0,14,1,0,22,0,1,0,0,0,1,4319
1,1,1111326,58,321,0,15,0,1,14,0,1,3,0,0,1,2850
0,1,463,330,22899,1,12,0,0,19,0,1,1,0,0,1,4853
0,1,465,1749,2653,0,9,0,1,9,0,1,0,3,0,1,3659
0,1,13277,382,3924,0,11,0,1,12,0,1,0,0,0,1,4996
0,0,10,0,33,1,10,0,0,18,0,1,0,0,1,1,3183
1,1,860362,1400,146756,0,9,0,0,12,0,1,0,0,0,1,3778
0,1,1568050,20479,1398437,0,13,0,1,7,0,1,0,0,0,1,4520
0,1,11,0,3021,1,14,0,1,6,0,0,0,0,0,1,2159
0,0,0,0,644,0,15,0,1,16,0,1,0,0,0,1,2208
0,1,3246,503,3117,0,7,0,1,9,0,1,0,0,0,1,3249
0,0,1,0,24,1,15,0,0,18,0,0,0,0,0,0,3644
0,0,123,0,4671,0,14,0,1,17,0,1,0,0,0,1,3040
1,1,99145,560,67273,0,9,0,0,8,1,0,1,0,0,1,4483
0,1,654,630,4063,0,13,0,0,5,0,1,0,0,0,1,3369
0,1,4,0,425,1,7,0,0,13,0,0,0,0,0,0,4438
0,0,463,74,7320,0,14,0,0,7,0,0,0,0,0,1,3761
0,0,273,0,9985,1,8,0,0,3,0,0,0,0,0,1,4044
0,1,1267,70,327,0,12,0,1,13,0,1,2,0,0,1,2683
0,1,2874,1320,6833,0,12,1,0,18,0,0,0,1,0,1,4622
0,0,59,83,1863,0,7,1,1,13,0,1,0,0,0,1,3704
0,1,126,118,6418,0,14,0,1,7,0,0,0,0,0,1,4136
0,0,62,379,2854,1,13,0,0,10,0,1,0,0,0,0,2992
1,1,3079,1079,16150,0,15,0,1,14,0,1,0,0,0,1,4986
